Seja,Delovno telo,Tip,Datum
23. redna seja, Odbor za zunanjo politiko ,Seja,22. 3. 2019
21. redna seja, Odbor za zunanjo politiko ,Seja,21. 3. 2019
9. nujna seja, Odbor za zdravstvo ,Seja,21. 3. 2019
8. redna seja, Mandatno-volilna komisija ,Seja,21. 3. 2019
5. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,20. 3. 2019
20. redna seja, Odbor za zunanjo politiko ,Seja,20. 3. 2019
5. redna seja, Komisija za nadzor javnih financ ,Seja,20. 3. 2019
19. redna seja, Odbor za zunanjo politiko ,Seja,20. 3. 2019
7. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,19. 3. 2019
16. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,19. 3. 2019
9. nujna seja, Odbor za zunanjo politiko ,Seja,18. 3. 2019
8. nujna seja, Odbor za pravosodje ,Seja,18. 3. 2019
10. nujna seja, Odbor za finance ,Seja,15. 3. 2019
36. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,15. 3. 2019
7. nujna seja, Odbor za pravosodje ,Seja,15. 3. 2019
22. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,15. 3. 2019
35. redna seja, Odbor za zadeve Evropske unije ,Seja,15. 3. 2019
1. redna seja, Odbor za zdravstvo ,Seja,14. 3. 2019
7. redna seja, Odbor za pravosodje ,Seja,14. 3. 2019
18. redna seja, Odbor za zunanjo politiko ,Seja,14. 3. 2019
8. nujna seja, Odbor za zdravstvo ,Seja,14. 3. 2019
3. redna seja, Odbor za gospodarstvo ,Seja,13. 3. 2019
3. redna seja, Odbor za obrambo ,Seja,13. 3. 2019
7. redna seja, Odbor za finance ,Seja,13. 3. 2019
5. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,13. 3. 2019
1. nujna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,13. 3. 2019
34. redna seja, Odbor za zadeve Evropske unije ,Seja,8. 3. 2019
15. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,6. 3. 2019
6. nujna seja, Mandatno-volilna komisija ,Seja,5. 3. 2019
9. nujna seja, (skupna seja) Odbor za finance ,Seja,4. 3. 2019
7. nujna seja, (skupna seja) Odbor za gospodarstvo ,Seja,4. 3. 2019
5. nujna seja, Odbor za kulturo ,Seja,4. 3. 2019
6. redna seja, Odbor za finance ,Seja,2. 3. 2019
33. redna seja, Odbor za zadeve Evropske unije ,Seja,1. 3. 2019
3. redna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,28. 2. 2019
2. nujna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,28. 2. 2019
7. redna seja, Mandatno-volilna komisija ,Seja,28. 2. 2019
5. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,27. 2. 2019
4. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,27. 2. 2019
17. redna seja, Odbor za zunanjo politiko ,Seja,27. 2. 2019
7. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,26. 2. 2019
2. nujna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,22. 2. 2019
32. redna seja, Odbor za zadeve Evropske unije ,Seja,22. 2. 2019
14. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,21. 2. 2019
13. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,21. 2. 2019
6. nujna seja, Komisija za nadzor javnih financ ,Seja,20. 2. 2019
3. redna seja, Odbor za kulturo ,Seja,19. 2. 2019
5. redna seja, Odbor za finance ,Seja,19. 2. 2019
31. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,15. 2. 2019
16. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,15. 2. 2019
30. redna seja, Odbor za zadeve Evropske unije ,Seja,15. 2. 2019
6. nujna seja, Odbor za pravosodje ,Seja,15. 2. 2019
2. nujna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,14. 2. 2019
4. redna seja, Komisija za nadzor javnih financ ,Seja,14. 2. 2019
1. nujna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,14. 2. 2019
1. posvet, Komisija za narodni skupnosti ,Seja,14. 2. 2019
6. redna seja, Odbor za pravosodje ,Seja,14. 2. 2019
7. nujna seja, Odbor za zdravstvo ,Seja,14. 2. 2019
3. redna seja, Komisija za narodni skupnosti ,Seja,13. 2. 2019
5. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,13. 2. 2019
2. redna seja, Odbor za obrambo ,Seja,13. 2. 2019
2. redna seja, Odbor za gospodarstvo ,Seja,13. 2. 2019
6. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,12. 2. 2019
2. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,12. 2. 2019
7. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,12. 2. 2019
6. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,12. 2. 2019
8. nujna seja, Odbor za zunanjo politiko ,Seja,11. 2. 2019
11. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,7. 2. 2019
2. nujna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,7. 2. 2019
12. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,7. 2. 2019
4. redna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,7. 2. 2019
29. redna seja, Odbor za zadeve Evropske unije ,Seja,7. 2. 2019
4. nujna seja, Odbor za kulturo ,Seja,6. 2. 2019
5. nujna seja, Komisija za nadzor javnih financ ,Seja,6. 2. 2019
6. nujna seja, Odbor za zdravstvo ,Seja,6. 2. 2019
5. redna seja, Odbor za pravosodje ,Seja,6. 2. 2019
4. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,5. 2. 2019
7. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,5. 2. 2019
7. nujna seja, Odbor za zunanjo politiko ,Seja,4. 2. 2019
1. nujna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,1. 2. 2019
6. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,29. 1. 2019
10. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,28. 1. 2019
15. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,25. 1. 2019
28. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,25. 1. 2019
3. nujna seja, Odbor za obrambo ,Seja,25. 1. 2019
2. redna seja, Odbor za kulturo ,Seja,24. 1. 2019
4. redna seja, Odbor za finance ,Seja,24. 1. 2019
4. nujna seja, Komisija za nadzor javnih financ ,Seja,24. 1. 2019
6. redna seja, Mandatno-volilna komisija ,Seja,24. 1. 2019
4. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,23. 1. 2019
13. redna seja, Odbor za zunanjo politiko ,Seja,23. 1. 2019
2. redna seja, Komisija za narodni skupnosti ,Seja,22. 1. 2019
5. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,22. 1. 2019
26. redna seja, Odbor za zadeve Evropske unije ,Seja,18. 1. 2019
27. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,18. 1. 2019
14. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,18. 1. 2019
6. nujna seja, Odbor za zunanjo politiko ,Seja,18. 1. 2019
3. nujna seja, Komisija za nadzor javnih financ ,Seja,17. 1. 2019
1. redna seja, Odbor za gospodarstvo ,Seja,17. 1. 2019
4. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,17. 1. 2019
5. nujna seja, Mandatno-volilna komisija ,Seja,17. 1. 2019
12. redna seja, Odbor za zunanjo politiko ,Seja,16. 1. 2019
1. redna seja, Odbor za obrambo ,Seja,16. 1. 2019
6. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,16. 1. 2019
5. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,16. 1. 2019
3. redna seja, Odbor za finance ,Seja,15. 1. 2019
25. redna seja, Odbor za zadeve Evropske unije ,Seja,11. 1. 2019
4. redna seja, Odbor za pravosodje ,Seja,10. 1. 2019
3. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,10. 1. 2019
5. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,8. 1. 2019
5. nujna seja, Odbor za zadeve Evropske unije ,Seja,7. 1. 2019
6. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,21. 12. 2018
24. redna seja, Odbor za zadeve Evropske unije ,Seja,20. 12. 2018
5. nujna seja, Odbor za zdravstvo ,Seja,20. 12. 2018
2. redna seja, Komisija za poslovnik ,Seja,20. 12. 2018
8. nujna seja, Odbor za finance ,Seja,17. 12. 2018
7. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,17. 12. 2018
23. redna seja, Odbor za zadeve Evropske unije ,Seja,14. 12. 2018
1. nujna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,13. 12. 2018
5. redna seja, Mandatno-volilna komisija ,Seja,13. 12. 2018
2. redna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,13. 12. 2018
4. nujna seja, Odbor za zdravstvo ,Seja,13. 12. 2018
4. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,12. 12. 2018
9. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,12. 12. 2018
10. redna seja, Odbor za zunanjo politiko ,Seja,12. 12. 2018
5. nujna seja, Odbor za zunanjo politiko ,Seja,12. 12. 2018
4. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,11. 12. 2018
7. nujna seja, Odbor za finance ,Seja,11. 12. 2018
3. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,10. 12. 2018
8. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,10. 12. 2018
11. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,7. 12. 2018
22. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,7. 12. 2018
3. redna seja, (skupna seja) Komisija za nadzor javnih financ ,Seja,6. 12. 2018
19. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,6. 12. 2018
7. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,6. 12. 2018
6. nujna seja, Odbor za finance ,Seja,6. 12. 2018
6. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,6. 12. 2018
21. redna seja, Odbor za zadeve Evropske unije ,Seja,5. 12. 2018
5. nujna seja, Odbor za finance ,Seja,4. 12. 2018
2. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,4. 12. 2018
4. nujna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,3. 12. 2018
6. nujna seja, (skupna seja) Odbor za gospodarstvo ,Seja,3. 12. 2018
20. redna seja, Odbor za zadeve Evropske unije ,Seja,30. 11. 2018
2. nujna seja, Odbor za obrambo ,Seja,30. 11. 2018
3. nujna seja, Odbor za zdravstvo ,Seja,29. 11. 2018
5. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,28. 11. 2018
3. nujna seja, Odbor za zadeve Evropske unije ,Seja,28. 11. 2018
3. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,28. 11. 2018
4. nujna seja, Odbor za finance ,Seja,26. 11. 2018
18. redna seja, Odbor za zadeve Evropske unije ,Seja,23. 11. 2018
17. redna seja, Odbor za zadeve Evropske unije ,Seja,21. 11. 2018
5. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,20. 11. 2018
4. nujna seja, Odbor za zunanjo politiko ,Seja,16. 11. 2018
9. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,16. 11. 2018
2. nujna seja, Odbor za zdravstvo ,Seja,16. 11. 2018
16. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,16. 11. 2018
3. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,15. 11. 2018
3. nujna seja, Odbor za finance ,Seja,15. 11. 2018
6. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,15. 11. 2018
4. redna seja, Mandatno-volilna komisija ,Seja,15. 11. 2018
2. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,14. 11. 2018
5. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,14. 11. 2018
8. redna seja, Odbor za zunanjo politiko ,Seja,14. 11. 2018
5. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,13. 11. 2018
3. nujna seja, Odbor za kulturo ,Seja,13. 11. 2018
3. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,13. 11. 2018
4. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,12. 11. 2018
4. nujna seja, Odbor za pravosodje ,Seja,9. 11. 2018
15. redna seja, Odbor za zadeve Evropske unije ,Seja,9. 11. 2018
1. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,8. 11. 2018
3. redna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,8. 11. 2018
4. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,8. 11. 2018
2. nujna seja, Odbor za finance ,Seja,8. 11. 2018
2. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,7. 11. 2018
4. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,7. 11. 2018
2. redna seja, Komisija za nadzor javnih financ ,Seja,7. 11. 2018
3. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,7. 11. 2018
4. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,7. 11. 2018
5. nujna seja, Odbor za pravosodje ,Seja,7. 11. 2018
2. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,6. 11. 2018
2. redna seja, Odbor za finance ,Seja,6. 11. 2018
3. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,6. 11. 2018
2. nujna seja, Odbor za zadeve Evropske unije ,Seja,5. 11. 2018
14. redna seja, Odbor za zadeve Evropske unije ,Seja,5. 11. 2018
13. redna seja, Odbor za zadeve Evropske unije ,Seja,26. 10. 2018
3. nujna seja, Odbor za pravosodje ,Seja,25. 10. 2018
3. redna seja, Mandatno-volilna komisija ,Seja,25. 10. 2018
3. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,24. 10. 2018
1. redna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,24. 10. 2018
7. redna seja, Odbor za zunanjo politiko ,Seja,24. 10. 2018
3. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,24. 10. 2018
1. redna seja," (skupna seja) Odbor za izobraževanje, znanost, šport in mladino ",Seja,23. 10. 2018
1. redna seja, (skupna seja) Odbor za kulturo ,Seja,23. 10. 2018
12. redna seja, Odbor za zadeve Evropske unije ,Seja,19. 10. 2018
1. redna seja, Komisija za poslovnik ,Seja,18. 10. 2018
1. redna seja, Komisija za narodni skupnosti ,Seja,18. 10. 2018
3. redna seja, Odbor za pravosodje ,Seja,17. 10. 2018
6. redna seja, Odbor za zunanjo politiko ,Seja,17. 10. 2018
2. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,16. 10. 2018
2. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,16. 10. 2018
11. redna seja, Odbor za zadeve Evropske unije ,Seja,12. 10. 2018
10. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,12. 10. 2018
5. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,12. 10. 2018
1. redna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,10. 10. 2018
2. redna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,10. 10. 2018
2. nujna seja, Komisija za nadzor javnih financ ,Seja,10. 10. 2018
5. nujna seja, Odbor za gospodarstvo ,Seja,10. 10. 2018
9. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,5. 10. 2018
4. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,5. 10. 2018
8. redna seja, Odbor za zadeve Evropske unije ,Seja,4. 10. 2018
4. nujna seja, Mandatno-volilna komisija ,Seja,4. 10. 2018
2. redna seja, Odbor za pravosodje ,Seja,3. 10. 2018
1. nujna seja, Komisija za nadzor javnih financ ,Seja,3. 10. 2018
1. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,3. 10. 2018
4. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,2. 10. 2018
7. redna seja, Odbor za zadeve Evropske unije ,Seja,28. 9. 2018
1. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,27. 9. 2018
1. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,27. 9. 2018
5. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,27. 9. 2018
1. redna seja, Komisija za nadzor javnih financ ,Seja,27. 9. 2018
3. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,27. 9. 2018
6. redna seja, Odbor za zadeve Evropske unije ,Seja,27. 9. 2018
1. redna seja, Odbor za pravosodje ,Seja,26. 9. 2018
2. redna seja, Odbor za zunanjo politiko ,Seja,26. 9. 2018
1. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,25. 9. 2018
2. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,25. 9. 2018
4. nujna seja, Odbor za gospodarstvo ,Seja,25. 9. 2018
4. redna seja, Odbor za zadeve Evropske unije ,Seja,21. 9. 2018
2. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,20. 9. 2018
1. redna seja, Odbor za finance ,Seja,20. 9. 2018
2. redna seja, Mandatno-volilna komisija ,Seja,20. 9. 2018
3. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,19. 9. 2018
2. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,19. 9. 2018
1. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,17. 9. 2018
3. redna seja, Odbor za zadeve Evropske unije ,Seja,14. 9. 2018
2. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,13. 9. 2018
2. nujna seja, Odbor za pravosodje ,Seja,12. 9. 2018
3. nujna seja, Odbor za gospodarstvo ,Seja,12. 9. 2018
2. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,10. 9. 2018
2. nujna seja, Odbor za gospodarstvo ,Seja,6. 9. 2018
1. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,6. 9. 2018
1. nujna seja, Odbor za finance ,Seja,6. 9. 2018
1. nujna seja, Odbor za obrambo ,Seja,6. 9. 2018
1. nujna seja, Odbor za pravosodje ,Seja,6. 9. 2018
1. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,5. 9. 2018
1. nujna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,5. 9. 2018
1. nujna seja, Odbor za zdravstvo ,Seja,5. 9. 2018
1. nujna seja, Odbor za kulturo ,Seja,5. 9. 2018
1. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,4. 9. 2018
1. nujna seja, (skupna seja) Odbor za gospodarstvo ,Seja,4. 9. 2018
1. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,4. 9. 2018
3. nujna seja, Odbor za zunanjo politiko ,Seja,4. 9. 2018
1. nujna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,4. 9. 2018
1. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,4. 9. 2018
3. nujna seja, Mandatno-volilna komisija ,Seja,23. 8. 2018
2. nujna seja, Odbor za zunanjo politiko ,Seja,17. 8. 2018
4. nujna seja, Skupni odbor ,Seja,14. 8. 2018
2. redna seja, Odbor za zadeve Evropske unije ,Seja,20. 7. 2018
2. nujna seja, Mandatno-volilna komisija ,Seja,19. 7. 2018
3. nujna seja, Skupni odbor ,Seja,18. 7. 2018
1. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,13. 7. 2018
1. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,13. 7. 2018
2. nujna seja, Skupni odbor ,Seja,11. 7. 2018
1. nujna seja, Odbor za zunanjo politiko ,Seja,9. 7. 2018
1. nujna seja, Skupni odbor ,Seja,5. 7. 2018
1. nujna seja, Mandatno-volilna komisija ,Seja,28. 6. 2018
1. redna seja, Mandatno-volilna komisija ,Seja,22. 6. 2018
4. nujna seja, Skupni odbor ,Seja,14. 8. 2018
2. redna seja, Odbor za zadeve Evropske unije ,Seja,20. 7. 2018
2. nujna seja, Mandatno-volilna komisija ,Seja,19. 7. 2018
3. nujna seja, Skupni odbor ,Seja,18. 7. 2018
1. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,13. 7. 2018
1. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,13. 7. 2018
2. nujna seja, Skupni odbor ,Seja,11. 7. 2018
1. nujna seja, Odbor za zunanjo politiko ,Seja,9. 7. 2018
1. nujna seja, Skupni odbor ,Seja,5. 7. 2018
1. nujna seja, Mandatno-volilna komisija ,Seja,28. 6. 2018
1. redna seja, Mandatno-volilna komisija ,Seja,22. 6. 2018
